     DATE        TIME   ,  Infosys,Wipro,TATA MOTORS,BAJAJ FINANCE,BANK OF INDIA,BIRLA,BOSCH,HDFC
2021-01-27 11:56:50.171724,1318.1,450.14,270.12,4864.26,50.07,719.48,385.03,15772.01,1453.91
2021-01-27 11:57:01.398985,1318.1,450.14,270.12,4864.26,50.07,719.48,385.03,15772.01,1453.91
2021-01-27 11:57:13.114112,1318.05,450.14,270.13,4864.26,50.07,719.49,385.03,15771.93,1453.91
2021-01-27 11:57:24.085157,1318.05,450.14,270.13,4864.26,50.07,719.49,385.03,15771.93,1453.91
2021-01-27 11:57:35.069122,1318.05,450.14,270.13,4864.26,50.07,719.49,385.03,15772.19,1453.51
2021-01-27 11:57:46.435967,1318.05,450.14,270.12,4864.26,50.07,719.5,385.03,15772.01,1453.54
2021-01-27 11:57:57.417712,1318.05,450.14,270.12,4864.26,50.07,719.5,385.03,15772.01,1453.54
2021-01-27 11:58:08.477463,1318.06,450.14,270.12,4864.26,50.07,719.5,385.03,15772.01,1453.54
2021-01-27 11:58:19.356518,1318.05,450.14,270.12,4864.26,50.07,719.5,385.04,15772.01,1453.54
2021-01-27 11:58:30.359587,1318.05,450.14,270.12,4864.26,50.07,719.5,385.04,15772.19,1453.48
2021-01-27 11:58:41.693321,1318.06,450.14,270.12,4864.28,50.07,719.5,385.04,15772.19,1453.41
2021-01-27 11:58:52.582324,1318.06,450.14,270.12,4864.28,50.07,719.5,385.04,15772.19,1453.41
2021-01-27 11:59:04.577147,1317.42,450.14,270.12,4864.28,50.07,719.5,385.04,15772.19,1453.48
2021-01-27 11:59:15.598332,1317.42,450.14,270.12,4864.28,50.07,719.5,385.04,15772.3,1453.41
2021-01-27 11:59:26.524393,1317.42,450.14,270.12,4864.28,50.07,719.5,385.04,15772.19,1453.48
2021-01-27 11:59:37.464317,1317.42,450.14,270.12,4864.28,50.07,719.5,385.04,15772.3,1453.41
2021-01-27 11:59:48.882175,1317.42,450.14,270.12,4864.28,50.07,719.5,385.04,15772.3,1453.41
2021-01-27 12:00:00.521184,1317.42,450.15,270.12,4864.28,50.07,719.5,385.04,15772.3,1453.09
2021-01-27 12:00:11.734619,1317.42,450.15,270.12,4864.28,50.07,719.5,385.04,15772.3,1453.09
2021-01-27 12:00:22.763930,1317.42,450.15,270.12,4864.28,50.07,719.5,385.04,15772.3,1453.09
2021-01-27 12:00:34.136353,1317.42,450.15,270.12,4864.28,50.07,719.5,385.05,15772.3,1453.09
2021-01-27 12:00:45.729549,1317.42,450.16,270.12,4864.28,50.07,719.5,385.05,15772.3,1453.09
2021-01-27 12:00:56.709219,1317.41,450.16,270.12,4864.28,50.07,719.5,385.05,15772.75,1453.09
2021-01-27 12:01:07.626510,1317.41,450.16,270.12,4864.28,50.07,719.5,385.05,15772.75,1453.09
2021-01-27 12:01:18.661769,1317.41,450.16,270.12,4864.28,50.07,719.5,385.05,15772.75,1453.09
2021-01-27 12:01:29.512750,1317.41,450.16,270.12,4864.28,50.07,719.5,385.05,15772.75,1453.09
2021-01-27 12:01:40.980254,1317.41,450.16,270.11,4864.28,50.07,719.5,385.05,15772.75,1453.09
2021-01-27 12:01:52.272856,1317.41,450.15,270.11,4864.28,50.07,719.5,385.05,15772.75,1453.23
2021-01-27 12:02:04.267127,1317.41,450.15,270.11,4864.25,50.07,719.5,385.05,15772.75,1453.23
2021-01-27 12:02:15.179481,1317.41,450.15,270.11,4864.25,50.07,719.51,385.05,15772.75,1452.98
2021-01-27 12:02:26.332433,1317.41,450.15,270.11,4864.25,50.07,719.5,385.05,15772.75,1452.98
2021-01-27 12:02:37.238892,1317.4,450.15,270.11,4864.25,50.07,719.5,385.06,15772.75,1452.98
2021-01-27 12:02:48.201743,1317.4,450.16,270.11,4864.25,50.07,719.5,385.06,15772.75,1452.98
2021-01-27 12:02:59.983877,1317.4,450.16,270.11,4864.25,50.07,719.5,385.06,15772.82,1452.98
2021-01-27 12:03:11.958959,1317.4,450.16,270.11,4864.25,50.07,719.51,385.06,15773.08,1452.98
2021-01-27 12:03:23.100350,1317.4,450.16,270.11,4864.25,50.07,719.51,385.06,15773.08,1452.98
2021-01-27 12:03:34.171682,1317.4,450.16,270.11,4864.25,50.07,719.51,385.06,15773.08,1452.98
